;username;text;date
0;rioalexsandro;rioalexsandroSelama sepekan terakhir kasus kematian harian di Indonesia terus meningkat,Bahkan se Asia Indonesia peringkat ke 2 setelah India#covid19 #covidindonesia #pandemic #coronaindonesia2w;2021-06-26T00:20:04.000Z
1;urbanasiacom;#URinfo - Indonesia mendapat bantuan berupa 200 ventilator, 256 tabung oksigen kosong ukuran 40 liter dari Singapura untuk mempercepat penanggulangan COVID-19.Alat tersebut dibawa menggunakan dua pesawat Singapore Air Force C130 telah tiba di Bandara Halim Perdana Kusuma, Jakarta pada hari Jumat kemarin.--Temukan berita lainnya di ⁠⠀⁠Twitter @urbanasiacom⁠⠀⁠TikTok @urbanasiacomYouTube urbanasiacom⁠⠀⁠Facebook Urbanasiacom⁠⠀⁠www.urbanasia.com⁠⠀---⁠#urbanasia #urbanasiamedia #urbanasiajkt #takutkudet#covidindonesia #bantuan #alatkesehatan #oksigen #tabungoksigen #singapore #singapur1d;2021-07-10T07:41:57.000Z
2;semenit_tilawah;Judul Lagunya Mawthini ( Tanah Airku )الإمام العادل قوام كل مائل وصلاح كل فاسد وقصد كل جائر ونصرة كل مظلومSeorang pemimpin yg adil adalah penguasa yg mampu menegakkan setiap perkara yg bengkok, memperbaiki setiap perkara yg rusak, mencegah setiap kezhaliman, dan menolong siapapun yg dizhalimi.Melarang Aktivitas Tanpa Memberikan Solusi Hidup adalah ketimpangan. Menghindari kerumunan dengan kerumunan yang lebih besar. Kasihan aparatur negara di benturkan dengan rakyat kecil 🥲Pak, kita sama-sama capek 🥲Menurut kalian gimana?Share#covid19 #corona #palestine #palestina #palestine🇵🇸 #savepalestine #palestinaindonesia #storytime #sejarah #indonesiaku #jakartaselatan #bandunghits_ #muslimmovementindonesia #israelkoyak#coronaviruspandemic#covid_19#pray #qunutnazilah #savetheplanet #protokolkesehatan #indonesiabertauhid #covidindonesia #vaksin12h;2021-07-10T23:22:24.000Z
3;dr.zaidulakbar.resep;Corona makin menggila.. Semoga ini bermanfaat yahSejumlah cara lain untuk mengaktifkan sistem imun tubuh. Salah satunya menjaga pola makan dengan gizi seimbang.Selain itu, minum air putih sedikitnya 6 gelas/hari, olahraga setidaknya 3 kali dalam seminggu minimal 30 menit, dan menjaga kebersihan tubuh secara keseluruhan dengan mandi setiap hari.Tidak kalah penting, mencuci tangan dengan sabun atau handsanitizer setiap kali akan makan atau minum dan keluar dari kamar mandi, serta istirahat atau tidur yang cukup 6-8 jam/hari.Bagikan tips ini ke keluarga/teman/kerabat kalian.dapatkanMadu Murni dan Rempah Herbaldi @kampusmadu#jsrsehat #imuntubuh #covid #coronavirus #covidindonesia #immunitysistem #jagaimunitas #imunitastubuh #kampusmadu #jsrherbal #resepherbal #herbalcovid #obatcovid #infokesehatan #informasiupdate #updateinfo #infolengkapjsr #zaidulakbar #jsrresep #resepjsr #covidjsr #jintenhitam #ladahitamorganik #maduasli #manfaatmadu #manfatjinten #produkAllah1w;2021-07-03T21:32:34.000Z
4;officialsholawat_;"IG: @fuadbakh21 #fuadbeyDrone by @alivikryRIAU24.COM - Pembatasan itu biasanya disebut dengan 5M yakni memakai masker, mencuci tangan pakai sabun dan air mengalir, menjaga jarak, menjauhi kerumunan, dan membatasi mobilitasi dan interaksi.Permintaan ini disampaikannya dalam sebuah wawancara di TV One, Selasa, 6 Juli 2021.""Masyarakat membatasi kegiatan yang biasa disebut dengan 5M,"" pintanya.Anies beranggapan, tujuan semua ini agar pandemi Covid-19 di Jakarta segera berakhir.Cara ini disebutnya dengan upaya penambalan. Dia menganalogikan ledakan Covid-19 ibaran rumah yang tengah mengalami kebocoran.""Seperti atap rumah yang bocor, kami (pemerintah) siapkan ember yang menampung bocorannya. Tapi tidak bisa terus menerus kalau atapnya tidak di tambal,"" ujarnya.""Cara menambalnya itu pemerintahnya melakukan tresing untuk menemukan kasus sehingga mereka (masyarakat) di isolasi lalu dirawat. Dari sisi masyarakat membatasi kegiatan yang biasa disebut dengan 5M. Jadi dua-duanya terjalin. Ini cara menambal,"" ujarnya.Permintaan ini lantaran kondisi rumah sakit di DKI Jakarta penuh sesak oleh pasien Covid-19.""Jadi ini adalah sebelumnya, luar IGD (pasien membludak). Saya ingin mengatakan pada semua kami menyaksikan dari dekat. Ini bukan film, ini kenyataan,"" ujarnya.""Dan tenaga medis disana bekerja pontang panting untuk menyelamatkan. Kalau kita tidak sama-sama bekerja, tidak akan bisa ini selesai,"" ujarnya.#ppkm #ppkmdarurat #ppkmjawabali #coronavirus #corona #coronaindonesia #covidindonesia #covid_19 #covid19 #aniesbaswedan #jokowi #kemenkes #satgas21h";2021-07-10T14:52:01.000Z
5;dr.zaidulakbar.resep;Tidak henti-hentinya post mengenai immune booster.Karena memiliki sistem imun yang kuat adalah hal yang sangat penting, sekaligus kunci dalam melawan virus corona. Untuk itu, kamu perlu menaruh perhatian lebih pada upaya peningkatan sistem imun, agar terhindar dari COVID-19 dan penyakit berbahaya lainnya.IMMUNE BOOSTERBahan :- 300 ml air matang- 2 buah ibu jari jahe, kupas dan geprek- 1 ibu jari kunyit, kupas dan geprek- 1 Batang kayu manis atau 1 sdt kayu manis bubuk- 2 buah jeruk sunkist ( bisa diganti jeruk manis atau perasan lemon secukupnya)- 1 sdt maca (maca : gingseng asal Peru)- Raw honey ( madu murni) secukupnyaMasukkan jahe, kunyit, kayu manis, ke dalam panci, masak dengan 300ml air hingga panas ( tidak sampai mendidih) , angkat, kemudian saring, tunggu hingga hangat.Tambahkan jeruk sunkist, maca, dan raw honey, aduk rata siap disajikan.Dapatkan bahan Herbal dan Raw Honey di@kampusmadu@kampusmadu@kampusmaduManfaat :Melawan flu, demam, gangguan paru-paru, menghangatkan tubuh, meningkatkan sistem kekebalan tubuh, pengobatan kanker, tumor, gangguan kelenjar, masalah kewanitaan hingga sexual drink for male.Source resep buan_buana#jsr #jsrimun #jsrflu #jsrdemam #jsrtumor #jsr#zaidulakbar #jsrzaidulakbar #tehrempah #tehrimpang #zaidulakbarfanbase #imunjsr #immunitysistem #imunbooster #imuntubuh #jsrimun #resepboosteeimun #bonusbanyakjsr #bacaansehat #informasikesehatan #infowanita #informasiupdate #updatekesehatan #updateinfo #virus #coronavirus #covidindonesia #letsfightcoronavirus #zaidulakbarjsr #jsrimun3d;2021-07-08T02:39:21.000Z
6;dokterikadevi;Serba-serbi tentang Covid - 19 yang dirangkum dari akun @ningzsppd ...#covid#covid_19#covi̇d19#covidindonesia#dokterika#dokterikadevi#dokterpenyakitdalam4w;2021-06-08T04:25:20.000Z
7;dr.muslimkasim;🔔Pasien covid19 dengan nafas mulai terasa berat/sesak sementara stok oksigen habis danRS masih penuh dimana2 belum bisa melayani??⚠️Untuk smentara bisa kita selamatkan dulu dengan mengerjakan posisi tengkurap (proning) untuk membantu kebutuhan oksigen tubuhnya sambil menunggu bisa tertangani di RS.Please📌Save dan Share postingan ini buat sedulur yg lain ya🙏🏼✉Smoga Allah menyelamatkan kita semua dari kondisi darurat covid19 iniAamiin🤲🏽YRA______ ____ ___ __ __ _ _ _ _Untuk update tema2 kesehatan (terutama info pandemi + kesehatan THT -KL), bisa langsung pantau akun IG ini :@dr.muslimkasim@dr.muslimkasim#proning #proningposition #fightcovid19 #tengkurap #indonesialawancorona#pandemicovid19 #indonesialawancovid19 #obatcovid19 #infocovid19 #protokolkesehatan #viruscoronadiindonesia #wabahcorona #updatecovid19 #infocorona #pandemi #prokes #isolasimandiri #updateinfo #prokesuntukkitasemua #sarandokter #globalpandemic #covid19indonesia #stopcovid19 #covidindonesia #beritacorona #pakaimaskermu #edukasiinstagram #obatcorona #coronaindonesia1w;2021-07-03T01:18:18.000Z
8;dagelanmusik;gak kerasa ya udah setahun, ada nemuin hoby/kebiasaan baru gak ?..follow @dagelanmusik jika kamu ingin lihat konten musik tiap saat 😊... 🎥 : Youtube/Metro All Star. 🎙 : @jasonsambouw @fanimaulana @nikenriwu @margarethajo. 🎵 : @gac_music - Berlari Tanpa Kaki.. sc : #pandemi #covid_19 #covid19 #corona #coronaindonesia #covidindonesia #covid19indonesia #indonesianidol #coronavirusmemes😂😂😂 #indonesianidolspecialseason #gac #berlaritanpakaki...#dagelan#dagelantv#dagelanmusik#dagelanvideo#dagelanregion18w;2021-03-02T12:20:10.000Z
9;millenflorist;stay safe ya semua...--------@millenflorist melayani pemesanan karangan bunga papan dan berbagai macam rangkaian bunga yaa...--------Kita punya FREE ONGKIR lho untuk beberapa daerah di Indonesia--------✅Siap melayani pesanan pada hari H✅melayani pengiriman seluruh indonesia--------For Order & Info :📩WhatsApp : 082225324151📞Call : 085777027456www.millenflorist.net / www.millenflorist.com--------#covid_19 #vaksin #covid #covidindonesia #covidindonesia #quotestentangbunga #quotesaboutlife #quotesdaily #qotd #qotdindonesia #quotesbungalavender #quotesbungamatahari #quotesbungamawar #quotesflower #bunga #mawar #quotesttgbunga #rangkaianbunga #bungastanding #bungameja #bungapapan4m;2021-07-11T12:00:59.000Z
